date,time,Severity,temperature_2m,relative_humidity_2m,precipitation,surface_pressure,cloud_cover,wind_speed_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,forest_fire
3/17/21,19:00:00,0.0,9.711000443,66.45889282,0.0,933.2205811,57.30000305,7.559999466,8.911000252,5.81099987,0.326000005,0.317000002,N
3/17/21,20:00:00,0.0,10.31100082,64.52090454,0.0,933.0280762,90.0,8.905907631,10.11100006,6.160999775,0.324999988,0.317000002,N
3/17/21,21:00:00,0.0,10.26100063,64.28329468,0.0,932.8304443,97.5,9.028754234,10.81100082,6.511000156,0.324000001,0.317000002,N
3/17/21,22:00:00,0.0,10.11100006,61.58613586,0.0,932.237915,69.6000061,5.315336227,11.21100044,6.861000061,0.323000014,0.316000015,N
3/17/21,23:00:00,0.0,10.26100063,60.54221344,0.0,932.0981445,45.0,6.130578518,11.31100082,7.160999775,0.321999997,0.316000015,N
3/18/21,0:00:00,0.0,8.211000443,73.53520203,0.0,931.960022,89.40000153,5.351784706,11.46100044,7.511000156,0.32100001,0.317000002,N
3/18/21,1:00:00,0.0,7.910999775,75.31362915,0.0,931.6891479,86.40000153,2.595996857,10.46100044,7.761000156,0.32100001,0.317000002,N
3/18/21,2:00:00,0.0,7.210999966,80.96173859,0.0,931.4834595,90.00000763,4.394360065,9.511000633,7.910999775,0.32100001,0.317000002,N
3/18/21,3:00:00,0.0,6.261000156,88.87208557,0.0,931.7515869,82.80000305,4.693825722,8.711000443,8.011000633,0.319999993,0.317000002,N
3/18/21,4:00:00,0.0,5.56099987,93.27754211,0.0,931.817627,81.90000153,2.741678238,8.011000633,8.011000633,0.319999993,0.317000002,N
3/18/21,5:00:00,0.0,5.361000061,93.92182922,0.0,931.7579346,77.40000153,2.811689854,7.56099987,8.011000633,0.319999993,0.317000002,N
3/18/21,6:00:00,0.0,5.111000061,93.25393677,0.0,932.1400757,56.10000229,5.241678715,7.160999775,7.960999966,0.319999993,0.317000002,N
3/18/21,7:00:00,0.0,4.511000156,94.54432678,0.0,932.234436,51.30000305,4.349896431,6.81099987,7.910999775,0.319999993,0.317000002,N
3/18/21,8:00:00,0.0,3.81099987,96.8805542,0.0,932.0234985,56.70000458,4.104631424,6.210999966,7.81099987,0.319999993,0.317000002,N
3/18/21,9:00:00,0.0,3.760999918,94.84701538,0.0,932.1911011,54.0,3.396233082,5.761000156,7.710999966,0.319999993,0.317000002,N
